date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:19	39972/39972	---M-Z	200	added ('OK')	text/html	etag:%229c24-6349d15d20943-gzip%22	https://www.kalamacademy.org/	D:/college-project/kalamClone/www.kalamacademy.org/index.html	(from )
23:49:20	178/178	---M--	200	added ('OK')	text/plain	date:Sat,%2002%20Aug%202025%2018:19:18%20GMT	https://www.kalamacademy.org/robots.txt		(from )
23:49:20	3029/3029	---M--	200	added ('OK')	image/png	etag:%22bd5-6239292d22091%22	https://www.kalamacademy.org/newAssests/img/kalam_header_logo.png	D:/college-project/kalamClone/www.kalamacademy.org/newAssests/img/kalam_header_logo.png	(from https://www.kalamacademy.org/)
23:49:20	20037/20037	---M--	200	added ('OK')	text/css	etag:%224e45-623928f1ccd92%22	https://www.kalamacademy.org/newAssests/css/index.css	D:/college-project/kalamClone/www.kalamacademy.org/newAssests/css/index.css	(from https://www.kalamacademy.org/)
23:49:21	30416/30416	---M--	200	added ('OK')	image/webp	etag:%2276d0-6239292d92935%22	https://www.kalamacademy.org/newAssests/img/kalam_hero_section.webp	D:/college-project/kalamClone/www.kalamacademy.org/newAssests/img/kalam_hero_section.webp	(from https://www.kalamacademy.org/)
23:49:21	8454/8454	---M--	200	added ('OK')	image/jpeg	etag:%222106-623929378e789%22	https://www.kalamacademy.org/newAssests/img/placeholder1.jpg	D:/college-project/kalamClone/www.kalamacademy.org/newAssests/img/placeholder1.jpg	(from https://www.kalamacademy.org/)
23:49:22	103335/103335	---M-Z	200	added ('OK')	text/html	etag:%22193a7-6357d2a92bc75-gzip%22	https://www.kalamacademy.org/web-development-course-in-ranchi/	D:/college-project/kalamClone/www.kalamacademy.org/web-development-course-in-ranchi/index.html	(from https://www.kalamacademy.org/)
23:49:22	71844/71844	---M-Z	200	added ('OK')	text/html	etag:%22118a4-62eb8fcf148a0-gzip%22	https://www.kalamacademy.org/business/	D:/college-project/kalamClone/www.kalamacademy.org/business/index.html	(from https://www.kalamacademy.org/)
23:49:22	429910/429910	---M--	200	added ('OK')	image/png	etag:%2268f56-6239292482477%22	https://www.kalamacademy.org/newAssests/img/kalam_bg2.png	D:/college-project/kalamClone/www.kalamacademy.org/newAssests/img/kalam_bg2.png	(from https://www.kalamacademy.org/)
23:49:22	3812/3812	---M--	200	added ('OK')	text/javascript	etag:%22ee4-62392942f149b%22	https://www.kalamacademy.org/newAssests/js/index.js	D:/college-project/kalamClone/www.kalamacademy.org/newAssests/js/index.js	(from https://www.kalamacademy.org/)
23:49:23	97509/97509	---M-Z	200	added ('OK')	text/html	etag:%2217ce5-6357d1d8779a2-gzip%22	https://www.kalamacademy.org/digital-marketing-course-in-ranchi/	D:/college-project/kalamClone/www.kalamacademy.org/digital-marketing-course-in-ranchi/index.html	(from https://www.kalamacademy.org/)
23:49:23	7310/7310	---M--	200	added ('OK')	image/webp	etag:%221c8e-623928f534325%22	https://www.kalamacademy.org/newAssests/img/big_img.webp	D:/college-project/kalamClone/www.kalamacademy.org/newAssests/img/big_img.webp	(from https://www.kalamacademy.org/newAssests/css/index.css)
23:49:26	187587/187587	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Aug%202025%2018:19:21%20GMT	https://www.kalamacademy.org/ranchi-creators-meet-1-0/	D:/college-project/kalamClone/www.kalamacademy.org/ranchi-creators-meet-1-0/index.html	(from https://www.kalamacademy.org/)
23:49:26	180801/180801	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Aug%202025%2018:19:22%20GMT	https://www.kalamacademy.org/personality-development-classes-in-ranchi-kalam-academy/	D:/college-project/kalamClone/www.kalamacademy.org/personality-development-classes-in-ranchi-kalam-academy/index.html	(from https://www.kalamacademy.org/)
23:49:26	213391/213391	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Aug%202025%2018:19:22%20GMT	https://www.kalamacademy.org/ranchi-creators-meet-2-0/	D:/college-project/kalamClone/www.kalamacademy.org/ranchi-creators-meet-2-0/index.html	(from https://www.kalamacademy.org/)
23:49:27	302871/302871	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2002%20Aug%202025%2018:19:26%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/college-project/kalamClone/connect.facebook.net/en_US/fbevents.js	(from https://www.kalamacademy.org/web-development-course-in-ranchi/)
23:49:27	54037/54037	---M--	200	added ('OK')	text/css	etag:%22d315-62392944bdbb0%22	https://www.kalamacademy.org/web-development-course-in-ranchi/index.css	D:/college-project/kalamClone/www.kalamacademy.org/web-development-course-in-ranchi/index.css	(from https://www.kalamacademy.org/web-development-course-in-ranchi/)
23:49:27	1606/1606	---M--	200	added ('OK')	image/webp	etag:%22646-62392932b5c17%22	https://www.kalamacademy.org/newAssests/img/kalam_web_heroback.webp	D:/college-project/kalamClone/www.kalamacademy.org/newAssests/img/kalam_web_heroback.webp	(from https://www.kalamacademy.org/web-development-course-in-ranchi/)
23:49:28	103335/103335	---M-Z	200	added ('OK')	text/html	etag:%22193a7-6357d2a92bc75-gzip%22	https://www.kalamacademy.org/web-development-course-in-ranchi/index.html	D:/college-project/kalamClone/www.kalamacademy.org/web-development-course-in-ranchi/index-2.html	(from https://www.kalamacademy.org/web-development-course-in-ranchi/)
23:49:28	11634/11634	---M--	200	added ('OK')	text/javascript	etag:%222d72-623929436828a%22	https://www.kalamacademy.org/web-development-course-in-ranchi/index.js	D:/college-project/kalamClone/www.kalamacademy.org/web-development-course-in-ranchi/index.js	(from https://www.kalamacademy.org/web-development-course-in-ranchi/)
23:49:28	10198/10198	---M--	200	added ('OK')	text/javascript	etag:%2227d6-63294bcc95307%22	https://www.kalamacademy.org/web-development-course-in-ranchi/ash_script_dm.js	D:/college-project/kalamClone/www.kalamacademy.org/web-development-course-in-ranchi/ash_script_dm.js	(from https://www.kalamacademy.org/web-development-course-in-ranchi/)
23:49:29	58765/58765	---M--	200	added ('OK')	text/css	etag:%22e58d-6251fc4161ddb%22	https://www.kalamacademy.org/digital-marketing-course-in-ranchi/index.css	D:/college-project/kalamClone/www.kalamacademy.org/digital-marketing-course-in-ranchi/index.css	(from https://www.kalamacademy.org/digital-marketing-course-in-ranchi/)
23:49:29	22036/22036	---M--	200	added ('OK')	image/webp	etag:%225614-6239292b45f2c%22	https://www.kalamacademy.org/newAssests/img/kalam_digital_hero.webp	D:/college-project/kalamClone/www.kalamacademy.org/newAssests/img/kalam_digital_hero.webp	(from https://www.kalamacademy.org/digital-marketing-course-in-ranchi/)
23:49:29	97509/97509	---M-Z	200	added ('OK')	text/html	etag:%2217ce5-6357d1d8779a2-gzip%22	https://www.kalamacademy.org/digital-marketing-course-in-ranchi/index.html	D:/college-project/kalamClone/www.kalamacademy.org/digital-marketing-course-in-ranchi/index-2.html	(from https://www.kalamacademy.org/digital-marketing-course-in-ranchi/)
23:49:29	11623/11623	---M--	200	added ('OK')	text/javascript	etag:%222d67-623928efb8e75%22	https://www.kalamacademy.org/digital-marketing-course-in-ranchi/index.js	D:/college-project/kalamClone/www.kalamacademy.org/digital-marketing-course-in-ranchi/index.js	(from https://www.kalamacademy.org/digital-marketing-course-in-ranchi/)
